week,spot,delta,shares_purchased,cost,total_cost,irc
0,49.00,0.522,52200,2557.8,2557.8,2.5
1,48.12,0.458,-6400,-308.0,2252.3,2.2
2,47.37,0.400,-5800,-274.7,1979.8,1.9
3,50.25,0.596,19600,984.9,2966.6,2.9
4,51.75,0.693,9700,502.0,3471.5,3.3
5,53.12,0.774,8100,430.3,3905.1,3.8
6,53.00,0.771,-300,-15.9,3893.0,3.7
7,51.87,0.706,-6500,-337.2,3559.5,3.4
8,51.38,0.674,-3200,-164.4,3398.5,3.3
9,53.00,0.787,11300,598.9,4000.7,3.8
10,49.88,0.550,-23700,-1182.2,2822.3,2.7
11,48.50,0.413,-13700,-664.4,2160.6,2.1
12,49.88,0.542,12900,643.5,2806.2,2.7
13,50.37,0.591,4900,246.8,3055.7,2.9
14,52.13,0.768,17700,922.7,3981.3,3.8
15,51.88,0.759,-900,-46.7,3938.4,3.8
16,52.87,0.865,10600,560.4,4502.6,4.3
17,54.87,0.978,11300,620.0,5126.9,4.9
18,54.62,0.990,1200,65.5,5197.3,5.0
19,55.87,1.000,1000,55.9,5258.2,5.1
20,57.25,1.000,0,0.0,5263.3,0.0
