week,spot,delta,shares_purchased,cost,total_cost,irc
0,49.00,0.522,52200,2557.8,2557.8,2.5
1,49.75,0.568,4600,228.9,2789.2,2.7
2,52.00,0.705,13700,712.4,3504.3,3.4
3,50.00,0.579,-12600,-630.0,2877.7,2.8
4,48.38,0.459,-12000,580.6,2299.9,2.2
5,48.25,0.443,-1600,77.2,2224.9,2.1
6,48.75,0.475,3200,156.0,2383.0,2.3
7,49.63,0.540,6500,322.6,2707.9,2.6
8,48.25,0.420,-12000,579.0,2131.5,2.1
9,48.25,0.410,-1000,-48.2,2085.4,2.0
10,51.12,0.658,24800,1267.8,3355.2,3.2
11,51.50,0.692,3400,175.1,3533.5,3.4
12,49.88,0.542,-15000,-748.2,2788.7,2.7
13,49.88,0.538,-400,-20.0,2771.4,2.7
14,48.75,0.400,-13800,-672.7,2101.4,2.0
15,47.50,0.236,-16400,-779.0,1324.4,1.3
16,48.00,0.261,2500,120.0,1445.7,1.4
17,46.25,0.062,-19900,-920.4,526.7,0.5
18,48.13,0.183,12100,582.4,1109.6,1.1
19,46.63,0.007,-17600,-820.7,290.0,0.3
20,48.12,0.000,-700,-33.7,256.6,
