time,close,hashrate,S9,S17,S19J,M20,M30
2020-03-01,8549.38,112147527.44063337,86.0,1371.0,2398.0,1580.0,2593.0
2020-03-08,8057.67,114617459.3494094,86.0,1371.0,2398.0,1580.0,2593.0
2020-03-15,5357.02,114912966.47171456,86.0,1371.0,2398.0,1580.0,2593.0
2020-03-22,5828.15,111093183.23847339,86.0,1371.0,2398.0,1580.0,2593.0
2020-03-29,5882.2,107587711.62240341,86.0,1371.0,2398.0,1580.0,2593.0
2020-04-05,6781.64,104211270.96697648,45.0,1245.0,2412.0,1448.0,2250.0
2020-04-12,6913.76,103322189.15797666,45.0,1245.0,2412.0,1448.0,2250.0
2020-04-19,7132.88,107758564.73482177,45.0,1245.0,2412.0,1448.0,2250.0
2020-04-26,7701.35,110272121.60069123,45.0,1245.0,2412.0,1448.0,2250.0
2020-05-03,8907.19,113896794.0440221,47.0,1432.0,2220.0,1550.0,2199.0
2020-05-10,8735.05,116204510.08001927,47.0,1432.0,2220.0,1550.0,2199.0
2020-05-17,9670.56,113099059.23512203,47.0,1432.0,2220.0,1550.0,2199.0
2020-05-24,8718.49,108207711.33242957,47.0,1432.0,2220.0,1550.0,2199.0
2020-05-31,9450.47,106244038.28035301,33.0,1275.0,2550.0,1361.0,2284.0
2020-06-07,9750.7,103825190.89748785,33.0,1275.0,2550.0,1361.0,2284.0
2020-06-14,9333.7,104528606.90542212,33.0,1275.0,2550.0,1361.0,2284.0
2020-06-21,9292.81,107989583.62801568,33.0,1275.0,2550.0,1361.0,2284.0
2020-06-28,9120.39,112707506.70651247,33.0,1275.0,2550.0,1361.0,2284.0
2020-07-05,9081.44,115953333.22993997,33.0,1266.0,2676.0,1109.0,2292.0
2020-07-12,9300.95,117848264.02809903,33.0,1266.0,2676.0,1109.0,2292.0
2020-07-19,9216.02,119894973.47105807,33.0,1266.0,2676.0,1109.0,2292.0
2020-07-26,9942.01,121891548.36544535,33.0,1266.0,2676.0,1109.0,2292.0
2020-08-02,11063.5,122396172.13974111,45.0,1373.0,2727.0,1302.0,2404.0
2020-08-09,11686.34,122444464.3265104,45.0,1373.0,2727.0,1302.0,2404.0
2020-08-16,11917.97,124915281.9515,45.0,1373.0,2727.0,1302.0,2404.0
2020-08-23,11651.52,125189275.79903613,45.0,1373.0,2727.0,1302.0,2404.0
2020-08-30,11716.54,124543367.38137321,45.0,1373.0,2727.0,1302.0,2404.0
2020-09-06,10260.37,125340438.76049791,42.0,1190.0,2973.0,1178.0,2620.0
2020-09-13,10332.36,127450230.68412001,42.0,1190.0,2973.0,1178.0,2620.0
2020-09-20,10921.85,131450442.7673107,42.0,1190.0,2973.0,1178.0,2620.0
2020-09-27,10781.47,135266686.4728746,42.0,1190.0,2973.0,1178.0,2620.0
2020-10-04,10675.52,138495441.7784902,32.0,1021.0,2695.0,1055.0,2330.0
2020-10-11,11375.51,139883082.53712702,32.0,1021.0,2695.0,1055.0,2330.0
2020-10-18,11513.33,140556407.65488407,32.0,1021.0,2695.0,1055.0,2330.0
2020-10-25,13041.21,139554567.8972934,32.0,1021.0,2695.0,1055.0,2330.0
2020-11-01,13761.72,133156703.62407997,45.0,1285.0,3360.0,1318.0,2178.0
2020-11-08,15488.25,128177526.37885801,45.0,1285.0,3360.0,1318.0,2178.0
2020-11-15,15964.7,123905989.9497411,45.0,1285.0,3360.0,1318.0,2178.0
2020-11-22,18430.59,125756395.78794271,45.0,1285.0,3360.0,1318.0,2178.0
2020-11-29,18199.23,130107637.4638323,45.0,1285.0,3360.0,1318.0,2178.0
2020-12-06,19378.94,133111784.7327762,93.0,1383.0,4103.0,1526.0,3229.0
2020-12-13,19169.05,135078539.2110121,93.0,1383.0,4103.0,1526.0,3229.0
2020-12-20,23467.06,135491820.59978124,93.0,1383.0,4103.0,1526.0,3229.0
2020-12-27,26249.27,134483965.48663467,93.0,1383.0,4103.0,1526.0,3229.0
2021-01-03,33063.48,137444500.74680063,154.0,2415.0,7231.0,3157.0,4504.0
2021-01-10,38202.08,141711198.72899956,154.0,2415.0,7231.0,3157.0,4504.0
2021-01-17,35839.51,145860295.6226345,154.0,2415.0,7231.0,3157.0,4504.0
2021-01-24,32283.66,149072198.88699025,154.0,2415.0,7231.0,3157.0,4504.0
2021-01-31,33143.22,150966839.14819717,241.0,3191.0,8427.0,3939.0,7635.0
2021-02-07,38868.82,153287330.67497954,241.0,3191.0,8427.0,3939.0,7635.0
2021-02-14,48652.87,154156385.75838152,241.0,3191.0,8427.0,3939.0,7635.0
2021-02-21,57469.95,155605841.89134282,241.0,3191.0,8427.0,3939.0,7635.0
2021-02-28,45261.03,155996990.27667278,354.0,4111.0,10337.0,4974.0,9927.0
2021-03-07,50964.18,156062520.59989205,354.0,4111.0,10337.0,4974.0,9927.0
2021-03-14,58998.89,155926630.7282172,354.0,4111.0,10337.0,4974.0,9927.0
2021-03-21,57374.95,157144188.40446872,354.0,4111.0,10337.0,4974.0,9927.0
